hi chị_em là thuý quỳnh	0
chào chị	0
em chafo chị_em là thanh thảo	0
em chào chị_em là hoàng_lan	0
em chào chị phương em là việt	0
hi chị_em tên là_hải	0
em chào chị_em là vũ hoàng_trung	0
chị ơi	0
hi bạn	0
em chào chị_em là trọng hiếu ạ	0
chị oii em hương đây	0
chào	0
hi chị_em tên là tuấn	0
chào mai phương mình là phú	0
dạ em chào chị	0
em chào chị_em là tuấn_hải	0
em chao chi em la_châu	0
em chào chị chị cho em hỏi cái này với	0
em chào chị_em là bình_minh	0
chào bạn mình là tuấn_hải	0
em chào chị_em là quang	0
chào chị_em là minh_quân	0
hi chị_em tên là thắng	0
hi phương mình là phong	0
hi chi em là thanh hoa	0
em chào chị là trường	0
chào bạn mình tên minh chi	0
em chào cj em là tuấn	0
hii	0
chào chị_em là hoài_thu	0
chào chị_em là minh thanh	0
hello c	0
chào chị_em tên là quang	0
em chào chị_em là minh hiền	0
alo	0
chào bạn mình là minh hiền	0
chào chị_em là hải_đăng	0
xin chào	0
em chào chị ạ	0
em chào chị_em là_hùng	0
hi mình là quốc_anh	0
hiii	0
mình chào bạn tên mình là quang	0
hello mình là minh_anh	0
vaang	1
ok bạn để mình xem qua	1
oke ạ	1
oce ạ	1
vâng ko sao ạ	1
oke	1
em có nhận đc thông_tin rồi ạ	1
vâng ạ	1
dạ vâng ạ	1
dạ	1
oke nhé mai	1
oke mai nhé	1
oke chị	1
ok chị	1
ok bạn	1
dạ chị em sẽ tham_khảo	1
vâng chị	1
oke mai	1
oce chị	1
vâng a	1
oki chị	1
cảm_ơn chị đã phản_hồi	2
cám_ơn phương mai nhé	2
cám_ơn mai nhiều	2
dạ em cám_ơn chị	2
cảm_ơn chị rất nhiều	2
vâng em cảm_ơn ạ	2
a cám_ơn mai nhé	2
em cảm_ơn ạ	2
tks chị mai	2
em cảm_ơn	2
okhe e cảm_ơn ak	2
em cảm_ơn chị	2
em cám_ơn chị mai	2
cảm_ơn b	2
thanks bạn	2
thank chị	2
dạ vâng em cám_ơn chị	2
tks mai nhé	2
vâng ạ em cảm_ơn ạ	2
em cảm_ơn nha	2
thanks mai nhé	2
e cám_ơn chị mai ạ	2
cảm_ơn bạn nhiều	2
em cảm_ơn chị ạ	2
anh cám_ơn mai nhé	2
mình cảm_ơn ạ	2
cảm_ơn bạn	2
em cám_ơn chị mai ạ	2
em cám_ơn chị	2
mình cám_ơn mai nhé	2
e cám_ơn chị mai	2
vâng em cám_ơn chị mai	3
dạ em cảm_ơn	3
oke cám_ơn chị ạ	3
oke em cám_ơn ạ	3
dạ vâng ạ em cảm_ơn chị rất nhiều ạ	3
dạ vâng em cảm_ơn chị nhiều ạ	3
dạ vâng ạ e cảm_ơn chị nhiều lắm ạ	3
dạ em cảm_ơn chị nhiều ạ	3
oke em cám_ơn chị mai ạ	3
uh cám_ơn mai nhé	3
vâng chị_em cảm_ơn	3
vần cảm_ơn chị	3
dạ vâng cảm_ơn chị đã dành thời_gian cho em ạ	3
dạ vâng e nhận đc jd rồi ạ e cảm_ơn chị nhiều ạ	3
oke cảm_ơn mai nhé	3
oki em cảm_ơn chị mai	3
dạ vâng em cảm_ơn chị nhiều	3
vâng ạ em cám_ơn chị mai	3
oke tks mai nhé	3
vâng cám_ơn chị	3
dạ em cảm_ơn ạ	3
ok cám_ơn bạn	3
vâng em cảm_ơn chị ạ	3
oke ạ em cám_ơn chị mai	3
chị cho em hỏi thời_gian làm_việc part time của công_ty mình được không ạ	4
chị cho em xin lịch làm_việc của công_ty mình với ạ	4
cho mình xin lịch làm_việc của công_ty với	4
giờ_giấc làm_việc	4
chị ơi bên mình có yêu_cầu số buổi trên công_ty không ạ	4
về thời_gian làm_việc như_thế_nào ạ	4
cho mình xin cái lịch làm_việc với	4
thời_gian làm_việc như_thế_nào ạ	4
nếu em làm tts parttime thì lịch làm_việc của em như_thế_nào vậy chị	4
em xin thời_gian làm_việc với chị	4
cho em hỏi thời_gian làm_việc trong ngày như sào	4
chị cho em hỏi chút về thời_gian_thực tập được không ạ	4
cho mình xin thời_gian làm_việc với bạn	4
cho em hỏi giờ_giấc làm_việc thì sao	4
bên mình làm_việc như_thế_nào nhỉ	4
là sinh_viên thì sẽ đc chọn ca làm_việc đúng không ạ	4
thời_gian_thực tập trong ngày	4
thời_gian làm_việc	4
bên mình part time làm bao_nhiêu buổi / tuần k	4
dạ c cho e hỏi về thời_gian làm_việc với ạ	4
giờ_giấc làm_việc như_thế_nào vậy chị	4
time làm_việc thế_nào nhỉ bạn	4
c ơi c cho e hỏi về thời_gian làm_việc part time như nào ạ	4
vâng e xin ứng_tuyển	5
cho mình ứng_tuyển vị_trí nhân_sự nhé	5
cho a ứng_tuyển nhé	5
cho em xin được thực_tập ạ	5
em xin intern ạ	5
chị cho em hỏi em hiện đang là sinh_viên năm cuối tuần em còn buổi sáng học trên trường có_thể ứng_tuyển vào vị_trí này không ạ	5
e muốn thực_tập ạ	5
chị cho em ứng_tuyển vị_trí ai engineer ạ	5
cho em ứng_tuyển nhé chị	5
cho anh ứng_tuyển vị_trí c nhé	5
vậy chị cho em ứng_tuyển với ạ	5
nếu được thì e sẽ apply để chị xem qua cv của em ạ	5
cho em ứng_tuyển ạ	5
em có_thể ứng_tuyển được không ạ	5
cho em ứng_tuyển vị_trí này nhé chị	5
oke bạn cho mình ứng_tuyển với	5
em xin ứng_tuyển ạ	5
mình xin ứng_tuyển vị_trí này nhé	5
vâng ạ em muốn ứng_tuyển vào vị_trí này ạ	5
chị cho em ứng_tuyển với ạ	5
em quan_tâm đến cv tuyển_dụng bên mình ạ	5
mình xin ứng_tuyển vị_trí net	5
em muốn xin thực_tập bên chị ạ	5
part time có đc ko ạ	6
chị ơi em có_thể làm part time đc không ạ	6
bên b có tuyển partime k	6
bên mình tt full time hay part time vậy chị	6
với cả nếu được accept em có khả_năng có_thể thực_tập full time được ạ không như các trường khác ạ	6
bên mình làm_việc full hay part vậy em	6
với bên mình cho làm parttime không ạ	6
bên mình thực_tập partime hay fulltime ạ	6
dạ chị ơi vị_trí này công_ty tuyển parttime đúng không ạ	6
bên mình làm_việc fulltime hay part time vậy	6
mà em xin partime ấy chị	6
em có_thể làm parttime ko ạ	6
bạn ơi hiện_tại mình đang đi làm mong_muốn tìm việc parttime để kiếm thêm thu_nhập mình đã làm qua các phần_mềm quản_lý bán hàngkhobar cf hiện_tại mình đang làm it tại trường đh do ở xa nên mình mong_muốn có_thể làm online không biết mình có_thể ứng_tuyển dc k bạn	6
nếu được trúng_tuyển thì em có_thể làm tts part time không hả chị	6
em xin fulltime chị	6
dạ thế em muốn xin vào thực_tập partime thì được đúng ạ	6
nếu em ứng_tuyển vị_trí tts thì phải làm fulltime hay chỉ có_thể làm partime được hả chị	6
mà em xin fulltime ấy	6
em đi part time ạ	6
bên mình thực_tập fulltime hay parttime ạ	6
hiện_tại em năm cuối nhưng vẫn còn một_số môn trên trường nên em muốn hỏi bên công_ty có yêu_cầu thời_gian_thực tập fulltime không ạ	6
có_lẽ mình chưa đủ điều_kiện rồi	7
xin_lỗi chị_em không phù_hợp	7
tiếc quá chị mai ạ có_lẽ em chưa đáp_ứng đủ jd rồi	7
dạ nàye không phù_hợp r chị	7
dạ như này em không phù_hợp ạ	7
có_lẽ em không phù_hợp vị_trí này rồi	7
vậy chắc mình không phù_hợp công_việc này rồi	7
tiếc quá có_lẽ anh không phù_hợp rồi	7
như trong jd thì em chưa đủ điểm kiện apply tts android rồi ạ	7
thế_này thì em không hợp rồi	7
tiếc quá mình không phù_hợp công_việc này rồi	7
vậy chắc e không phù_hợp công_việc này rồi	7
vậy chắc a không phù_hợp công_việc này rồi	7
dạ em không đáp_ứng được	7
vâng tiếc quá á có_lẽ em chưa đáp_ứng đủ yêu_cầu tts ai engineer ạ	7
em ko phù_hợp mất rồi	7
thế_này thì em ko đáp_ứng đc r	7
tiếc quá có_lẽ em không phù_hợp rồi	7
em ko hợp đâu ạ	7
vậy chắc mình không phù_hợp rồi	7
vậy chắc em không phù_hợp công_việc này rồi	7
em không phù_hợp rồi chị ạ	7
vậy có_lẽ anh không phù_hợp rồi	7
em thấy chị có đăng tuyển net intern ạ	8
công_ty có vị_trí về iot không ạ	8
dạ công_ty mình có cho làm_việc remote k ạ	8
chị cho em xin jd tuyển_dụng tt sinh hành_chính nhân_sự với ạ	8
dạ vâng e chào chị_em đang quan_tâm đến vị_trí intern android ạ	8
chị ơi bên mình còn tuyển job intern react native k ạ	8
e thấy c có đăng tuyển nv marketing đúng k ạ	8
a ở hcm e làm remote được k em	8
dạ bên chị tuyển android intern ạ	8
bên mình có tuyển remote hay chi_nhánh ở hcm ko chị	8
em chào chịem đang quan_tâm đến vị_trí intern mobile ạ	8
bên bạn còn tuyển intern ko	8
ên mình còn tuyển intern react native ko ạ	8
bên bạn còn tuyển tts k ạ	8
bên mình có nhận fresher không ạ	8
hiện_tại e có tự học react native xong nên cũng muốn tìm job parttime để học_hỏi thêm	8
e muốn ứng_tuyển truyền_thông nội_bộ	8
dạ cty mình có tuyển remove ko ạ	8
bên mình nhận remote không hay phải lên công_ty ạ	8
chị ơi mình còn tuyển thực_tập_sinh không ạ	8
nếu không_thể thì bên mình có đang tuyển fresher không ạ	8
chị ơi em có thấy chị đăng tuyển ai intern	8
em có thấy bài đăng của bên mh trên fb không biết bên mh còn tuyển tts nhân_sự ko ạ	8
dạ thực_tập_sinh nhân_sự ạ	8
em muốn thực_tập ai ạ	8
hiện_tại có intern về xử_lý ảnh không ạ	8
có ds k chị	8
chị ơi bên chị có tuyển fresher k ạ hay mỗi intern thui ạ	8
nhân_sự ạ	8
bên mình chòn tuyển intern ai k ạ	8
bên mình còn tuyển vị_trí tts truyền_thông nội_bộ không ạ	8
chị cho em xin intern ai được không ạ	8
em muốn xin jd tts nhân_sự bên chị ạ	8
em muốn làm fresher hoặc intern hơn để nâng cao_kiến_thức ấy ạ	8
với cty có nhận remote k ạ	8
dạ vị_trí em quan_tâm là tts android ạ	8
em muốn apply vào vị_trí ai engineer intern ạ	8
dạ mobile intern ạ	8
vị_trí intern system admin c ạ	8
chị ơi bên mình còn tuyển intern về machine learning không ạ	8
em đọc thấy bên công_ty hyperlogy chị có tuyển intern net	8
bên mình còn tuyển tts nhân_sự không ạ	8
cho em xin jd	9
cho em xin jd với ạ	9
gửi cho mình jd với ạ	9
dạ cho em xin jd với ạ	9
mô_tả công_việc	9
cho mình xin jd này ạ	9
yêu_cầu công_việc	9
công vc tn ạ	9
e xin jd ạ	9
chị có_thể cho em xin jd hay_biết thêm thông_tin ứng_tuyển ko ạ	9
chị ơi cho em hỏi là job này giờ còn không hả chị	9
thông_tin ứng_tuyển như_thế_nào ạ	9
chị gửi e jd với ạ	9
yêu_cầu công_việc là gì ạ	9
chị cho em xin jd với ạ	9
chị cho em coi jd được ko ạ	9
chị cho em xin lại jd được không ạ	9
em xin jd vớiii	9
cho em xin jd vs ạ	9
jd như_thế_nào ạ	9
xin jd	9
cho e xin jd với ạ	9
yêu_cầu về vị_trí thực_tập ai	10
chị cho em xin jd tts truyền_thông nội_bộ với ạ	10
e xin job tts nhân_sự ạ	10
bạn ơi cho mình xin jd android intern với ạ	10
xin jd reactjs bạn	10
